epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.266,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00015453,0.00015453,0.00015453
2,51.0776,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000286653,0.000286653,0.000286653
3,56.5596,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00038638,0.00038638,0.00038638
4,62.0428,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000453709,0.000453709,0.000453709
5,67.5447,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000488642,0.000488642,0.000488642
6,73.0458,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000459045,0.000459045,0.000459045
7,78.5244,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000369054,0.000369054,0.000369054
8,84.04,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000279063,0.000279063,0.000279063
9,89.5691,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000189072,0.000189072,0.000189072
10,95.0957,nan,nan,nan,0,0,0,0,nan,nan,nan,9.9081e-05,9.9081e-05,9.9081e-05
